iter	RMSE
0	0.8921608434
1	0.8389704746
2	0.7959430659
3	0.7620136054
4	0.7351742631
5	0.714060078
6	0.6993577256
7	0.6869742475
8	0.6775524449
9	0.6704005242
10	0.6640078724
11	0.6581378947
12	0.6536730604
13	0.650023082
14	0.6472494993
15	0.6445433468
16	0.6427353848
17	0.640953441
18	0.6392962926
19	0.6379018093
20	0.6369056944
21	0.6354747024
22	0.6338977656
23	0.63237687
24	0.6311720978
25	0.6302830223
26	0.6297497308
27	0.6289290112
28	0.6279481757
29	0.6272832749
30	0.6265118621
31	0.6259052325
32	0.625447435
33	0.6250194646
34	0.6245418373
35	0.6238561798
36	0.6226121103
37	0.6219452422
38	0.6212602024
39	0.6203460543
40	0.6199005192
41	0.6194450798
42	0.6190433909
43	0.618519422
44	0.6177296457
45	0.617281144
46	0.6166681096
47	0.6161306552
48	0.615627645
49	0.6152685721
50	0.6148905178
51	0.6143385709
52	0.6138081424
53	0.6133499324
54	0.6125217216
55	0.6120919727
56	0.6117737663
57	0.6111618035
58	0.6108009005
59	0.6105329745
60	0.610153252
61	0.6098021299
62	0.6093854477
63	0.6088902296
64	0.6086177618
65	0.6083892908
66	0.608015065
67	0.6076319813
68	0.6073282087
69	0.6070474112
70	0.6067601345
71	0.6065223557
72	0.6063235951
73	0.6060244557
74	0.6057242056
75	0.6051861893
76	0.6049127497
77	0.6044743623
78	0.6041947581
79	0.6038643115
80	0.6033871942
81	0.6027437977
82	0.6024218007
83	0.6020760808
84	0.6018802519
85	0.6014377007
86	0.6011514816
87	0.6007041892
88	0.600347464
89	0.6000897753
90	0.5998533676
91	0.5995966399
92	0.5992614248
93	0.598884916
94	0.5986730367
95	0.5983130026
96	0.5979962578
97	0.5977756911
98	0.5975460962
99	0.5972899429
100	0.5968604161
101	0.5966307825
102	0.5960591082
103	0.595809827
104	0.5955812183
105	0.5953435424
106	0.5949015579
107	0.5947586966
108	0.5944869407
109	0.5943671682
110	0.5942295131
111	0.5941280882
112	0.5939612044
113	0.5936692225
114	0.5934113691
115	0.5931200795
116	0.592914719
117	0.5926558707
118	0.5923011397
119	0.5921570895
120	0.5919329838
121	0.5917318571
122	0.591518873
123	0.5912168891
124	0.591085292
125	0.5909663483
126	0.5908165747
127	0.5907438461
128	0.5904233515
129	0.5902391476
130	0.5900814268
131	0.5899171954
132	0.5897407004
133	0.5895346797
134	0.5892508618
135	0.5890415346
136	0.5888830196
137	0.5887532765
138	0.5886185743
139	0.588486282
140	0.5881257556
141	0.5879206917
142	0.5878261817
143	0.587623729
144	0.5874789626
145	0.587347225
146	0.5869150052
147	0.5867044905
148	0.5864452398
149	0.5862984406
150	0.5861250931
151	0.585951961
152	0.5857185721
153	0.5855225949
154	0.5853986638
155	0.585242158
156	0.5850581881
157	0.5846885558
158	0.5845948759
159	0.584405881
160	0.5843387102
161	0.5842238844
162	0.5841234525
163	0.5839948192
164	0.5838328223
165	0.5834329866
166	0.5832818635
167	0.5831825896
168	0.5829249633
169	0.5827901577
170	0.5825994375
171	0.5824748243
172	0.5823074172
173	0.5822104377
174	0.5818352262
175	0.5817249104
176	0.5816358097
177	0.581560503
178	0.5814144109
179	0.5813035381
180	0.5811764782
181	0.581127056
182	0.5810035559
183	0.5808434804
184	0.5806892747
185	0.5805854122
186	0.5804642767
187	0.5804002314
188	0.5803347995
189	0.5802840104
190	0.5801350393
191	0.5800488631
192	0.5798420619
193	0.5797060394
194	0.5794952565
195	0.5793609074
196	0.5791985158
197	0.5790647381
198	0.578883736
199	0.5787767556
200	0.5786936685
201	0.5786015916
202	0.5784245033
203	0.5782081449
204	0.5780973775
205	0.5780094176
206	0.5779468068
207	0.577844087
208	0.5777219734
209	0.5776115835
210	0.5774600199
211	0.5772938145
212	0.5770590574
213	0.5769738694
214	0.5768295054
215	0.5767357585
216	0.5766584719
217	0.5764546323
218	0.5762939613
219	0.5761986669
220	0.5758439399
221	0.575526853
222	0.5754491585
223	0.5752528888
224	0.5751393371
225	0.5750208915
226	0.5749175633
227	0.5748109921
228	0.5746722775
229	0.5745341032
230	0.574444023
231	0.5743554581
232	0.5742421704
233	0.5741429913
234	0.5741110819
235	0.5739628691
236	0.5737967785
237	0.5737365733
238	0.5735943629
239	0.5734438519
240	0.5733380843
241	0.573297484
242	0.5732095868
243	0.5731121071
244	0.5730512501
245	0.5729812863
246	0.5728669911
247	0.5728021503
248	0.5726106763
249	0.572521915
250	0.5723536017
251	0.5722811862
252	0.5721941092
253	0.5721166804
254	0.5720359432
255	0.5719433407
256	0.5718048067
257	0.5717356553
258	0.5716315409
259	0.5714482663
260	0.5713126387
261	0.5712596331
262	0.5711996165
263	0.571128061
264	0.5710452894
265	0.5709788097
266	0.5708469464
267	0.5707752425
268	0.5707208995
269	0.5706191566
270	0.5703774464
271	0.5703016851
272	0.570252918
273	0.5701713022
274	0.5701146059
275	0.5700385697
276	0.5699672634
277	0.5698526183
278	0.5697132906
279	0.5696432229
280	0.5695585607
281	0.5694748117
282	0.5694077096
283	0.5693409687
284	0.5692846228
285	0.5692291218
286	0.5691871537
287	0.5690894977
288	0.5690053263
289	0.5689410475
290	0.5688675435
291	0.5688075767
292	0.5687614824
293	0.5686808247
294	0.5685727453
295	0.5684865063
296	0.5683338088
297	0.5682507035
298	0.5681525911
299	0.5681001986
300	0.5680241836
301	0.5679307191
302	0.5678392685
303	0.5677226046
304	0.5676793844
305	0.5676334931
306	0.5675920919
307	0.5675213545
308	0.5672849957
309	0.5672266934
310	0.5671871727
311	0.5671218555
312	0.5670945304
313	0.5670089825
314	0.5668884841
315	0.5668151801
316	0.5667329513
317	0.5666927661
318	0.566599108
319	0.5664665812
320	0.5663496726
321	0.5662463042
322	0.5661801812
323	0.5661130653
324	0.5660096504
325	0.5659486179
326	0.5659008493
327	0.5657891088
328	0.5656785353
329	0.5656303508
330	0.5655679692
331	0.5655008962
332	0.565461857
333	0.5653913586
334	0.5653297614
335	0.5652437146
336	0.565176863
337	0.5651305143
338	0.5650534514
339	0.5650009069
340	0.5648914085
341	0.5648050589
342	0.5647591245
343	0.5647035347
344	0.5645982415
345	0.5645330476
346	0.5644740907
347	0.5643947386
348	0.5643190566
349	0.5642660686
