iter	Passed	Remaining
0	259	90585
1	702	122183
2	1007	116585
3	1276	110432
4	1572	108475
5	1854	106335
6	2115	103648
7	2376	101593
8	2678	101496
9	2995	101835
10	3300	101729
11	3554	100111
12	3842	99611
13	4126	99030
14	4426	98851
15	4741	98979
16	5046	98857
17	5335	98409
18	5613	97792
19	5954	98250
20	6246	97858
21	6501	96926
22	6763	96164
23	7048	95740
24	7292	94807
25	7588	94562
26	7866	94102
27	8122	93409
28	8394	92919
29	8675	92534
30	8940	91998
31	9223	91656
32	9480	91067
33	9740	90533
34	9990	89918
35	10249	89398
36	10497	88800
37	10776	88479
38	11053	88141
39	11310	87660
40	11553	87077
41	11819	86679
42	12091	86324
43	12332	85769
44	12591	85344
45	12835	84823
46	13119	84576
47	13360	84062
48	13627	83709
49	13868	83212
50	14149	82953
51	14408	82573
52	14666	82189
53	14900	81675
54	15150	81261
55	15383	80764
56	15602	80201
57	15847	79782
58	16112	79470
59	16356	79055
60	16622	78752
61	16889	78456
62	17132	78048
63	17369	77619
64	17633	77314
65	17875	76916
66	18126	76564
67	18394	76281
68	18665	76016
69	18886	75547
70	19133	75186
71	19359	74748
72	19574	74275
73	19811	73890
74	20054	73534
75	20277	73107
76	20508	72710
77	20735	72307
78	20961	71905
79	21192	71524
80	21434	71182
81	21648	70754
82	21867	70343
83	22136	70098
84	22354	69694
85	22565	69269
86	22779	68862
87	23037	68587
88	23277	68263
89	23516	67935
90	23743	67579
91	24027	67382
92	24345	67277
93	24572	66921
94	24809	66592
95	25049	66275
96	25268	65905
97	25491	65548
98	25711	65187
99	25955	64889
100	26184	64553
101	26418	64233
102	26637	63877
103	26861	63538
104	27095	63223
105	27323	62895
106	27553	62575
107	27772	62230
108	28030	61975
109	28270	61681
110	28502	61371
111	28815	61232
112	29037	60901
113	29270	60595
114	29491	60265
115	29709	59930
116	29975	59694
117	30213	59403
118	30448	59105
119	30655	58755
120	30877	58437
121	31097	58116
122	31315	57794
123	31536	57477
124	31766	57179
125	32002	56893
126	32211	56561
127	32464	56306
128	32671	55972
129	32893	55666
130	33147	55414
131	33364	55102
132	33609	54837
133	33829	54531
134	34072	54264
135	34352	54053
136	34564	53738
137	34828	53504
138	35065	53228
139	35281	52922
140	35514	52642
141	35740	52352
142	35976	52078
143	36222	51818
144	36429	51504
145	36646	51204
146	36878	50928
147	37109	50648
148	37350	50385
149	37592	50123
150	37823	49846
151	38046	49560
152	38296	49309
153	38562	49079
154	38857	48885
155	39127	48657
156	39410	48446
157	39660	48195
158	39891	47919
159	40126	47650
160	40382	47405
161	40605	47122
162	40843	46856
163	41104	46618
164	41364	46378
165	41600	46111
166	41955	45974
167	42236	45755
168	42523	45542
169	42793	45310
170	43015	45028
171	43266	44776
172	43544	44550
173	43780	44283
174	44019	44019
175	44245	43743
176	44528	43521
177	44803	43292
178	45045	43032
179	45289	42773
180	45525	42507
181	45814	42289
182	46089	42059
183	46402	41862
184	46775	41718
185	47056	41490
186	47328	41254
187	47573	40993
188	48112	40984
189	48699	41010
190	49055	40837
191	49354	40614
192	49670	40405
193	49976	40187
194	50401	40062
195	50775	39894
196	51323	39860
197	51606	39616
198	51928	39403
199	52215	39161
200	52475	38899
201	52773	38665
202	53060	38423
203	53355	38185
204	53636	37937
205	53916	37689
206	54255	37480
207	54542	37235
208	54982	37093
209	55502	37001
210	55810	36765
211	56147	36549
